Internship Opportunity,Discipline,Description,2024 Deadline,Application Link,Requirements,Stipend or Rate,Travel / Lodging / Meal Support,Notes,# of Students Placed from Skyline,Skyline College student placed,Contact Information,"COVID-Considerations (online, no longer offered because of covid)"
HACU National Internship Program (HNIP) @ Various Locations - Summer Session,All Majors,"Whether you are a student looking for an internship or a federal agency or corporation looking for an intern, we feel confident that we can help you in your pursuit. We are always in search of the best and the brightest to fill our many internship opportunities. We are also looking to partner with government and corporate sector organizations interested in developing the next generation of dedicated public servants and business leaders","Feb 28th, 2023",https://www.hacu.net/hacu/HNIP.asp,Minimum 3.0 GPA. Enrollment in a degree-seeking program at an accredited institution. Authorization or eligibility to work in the United States by law,$16.10/hr,Round-trip airfare to/from internship location is provided for non-local students. Assistance to locate and secure housing during the internship for non-local students,,,,,
UCSC Caltech,Multiple,"Cal Teach offers a week-long intensive internship before the UCSC academic year begins. This internship is open to new and continuing Cal Teach interns; each continuing intern serves as a mentor to a new intern. They provide a week-long experience in a high-need rural or urban school, and require participants to be available for up eight consecutive hours each day of the internship week.",TBD,https://calteach.ucsc.edu/internships-opportunities/intensive-internship.html,"be interested in a K-12 science or math teaching career and have appropriate science or math background, be available all five consecutive full school days (eight hours each day, Monday-Friday), be able to commute to participating schools (e.g., James Lick High School, Gonzales High School, Fairview Middle School), and Fingerprinting & TB test documentation must be completed in advance of the internship quarter
",$450,,,,,,
NASA Summer JPL Internship,Multiple,"The JPL Summer Internship Program offers 10-week, full-time, summer internship opportunities at JPL to undergraduate and graduate students pursuing degrees in science, technology, engineering or mathematics.","Mar 29th, 2024",https://www.jpl.nasa.gov/edu/intern/apply/summer-internship-program/,"Currently enrolled undergraduate and graduate students pursuing degrees in science, technology, engineering or mathematics disciplines from accredited U.S. universities.
Minimum cumulative 3.00 GPA. The cumulative GPA must originate from the institution where the student has a current active status.
Open to U.S. citizens and lawful permanent residents (LPRs).
First internship experience must be 10 weeks or more. Subsequent internship terms are flexible.
Students must be available full time (40 hours per week) for at least 10-weeks in the summer.
",,,,,,,
2023 Summer Student Intern Program,Engineering · Architecture · Planning· Computer Science/Information Services,"The City and County of San Francisco is seeking student interns interested in various engineering and architecture disciplines, to provide support to in-house Engineering, Architecture, Landscape Architecture, Planning, Surveying, GIS, and IT staff.The duration of this internship can be 3-6 months, with an opportunity to extend it based on exemplary performance and necessity.

Selected candidates will be placed into one of the designated Trainee classifications assigned to this program --  Student Design Trainee I (Job code 5380), Student Design Trainee II (Job code 5381), Student Design Trainee III (Job code 5382),  or Information Systems Trainee (Job code 1010). The compensation range is $33.21 - $37.43 per hour, depending on the assigned classification.","February 22, 2023",https://careers.sf.gov/role/?id=3743990000877266,"At the time you submit your application, you must be enrolled in an accredited university or a community college in the following related fields: Mechanical, Electrical, Civil, or Environmental Engineering, Architecture, Landscape Architecture, Interior Architecture, Architectural Technology, Architectural Engineering,  Planning, Urban Planning, City Planning, Regional Planning, Computer Science/Information Services Program, Cybersecurity Program, Cloud Security, Digital Forensics,  Mathematics, Biology, Natural Resources, Environmental Horticulture.  

You must be returning to your undergraduate program or entering/continuing a graduate program in the Fall 2023
Students who will soon graduate are encouraged to apply
You can still apply if you are in your second-to-last or last semester, as you may still be selected for the program within six months of graduation

",,,,,,,
Meta University Internship,STEM/Business/Design,"Meta University is a hands-on, immersive internship program that enables students from underrepresented communities to get to know Meta's people, products, and services... provides the the opportunity to make a real impact and help redefine how the world connects",Multiple,https://www.facebook.com/careers/students-and-grads/students,Depends on major,,,"8-week internship in engineering, analytics, product design, operations and global marketing",,,,
Females in Aerospace Brooke Internship,Aerospace,"The success of the Brooke Owens Fellowship is built on the contributions of countless current and future leaders in aerospace. From the companies that employee our Fellows; to the executives, astronauts, and pioneers who mentor them; to the Fellows themselves. And, of course, our Founding team still draws on a deep and personal connection with our namesake, Brooke Owens, every day","October 7th, 2023",http://www.brookeowensfellowship.org,Female-identified or non-binary students interested in working in aerospace ,,,,,,,
National Institute of Health,Many,The long-term goal is to increase the number of community college students who transfer to four-year colleges and universities and consider careers in the biomedical sciences.,"January 12, 2024",https://www.training.nih.gov/ccsep_home_page,-U.S. citizens or permanent residents. -At least half-time student. -17 years of age.,,,https://www.training.nih.gov/oite-yt/applyingccsep,,,,
Health Career Connection,Health ,,Multiple, https://www.healthcareers.org,Social Security or ITIN number,,,,,,,
REU (Research Experience for undergraduates) Opportunites,Multiple,Giant list of REU opportunties!,Multiple,https://www.nsf.gov/crssprgm/reu/reu_search.jsp,N/A,N/A,N/A,,,,,
Lawrence Livermore National Lab,Multiple,Offering remote Summer 2021 internships,Multiple,https://www.llnl.gov/join-our-team/careers/students,,,,,,,,
NASA Pathways Internships,Multiple,"What kind of projects might I work on? Performs duties in one or more of the sub specialties within the Financial Management field to include, but not limited to Accounting, Budget Analysis and Resources Analysis. Works under the guidance of and will assist financial management professional personnel in progressively responsible duties which are directly related to the student's academic studies, with the goal of eventually becoming a resources analyst.",Multiple,https://www.nasa.gov/careers/pathways/,,,,,,,,
CalOpps,Multiple,"Your place to find internships in public agencies (great for Civil Engineers, all STEM majors, even some non-STEM opportunities).   Apply on-line – some openings have deadlines others are open until filled.   Some openings during the school year, many more openings will be posted for summer internships.",Multiple,https://www.calopps.org/job-search,,,,,,,,
Menlo Security,Computer Science or Computer Engineering,"Our investors have tremendous confidence in our approach. They believe a more durable approach to eliminating web and email risk is needed. One that isn't perennially vulnerable to the latest attacks. We believe that everyone should be able to enjoy the benefits of the Internet without the fear of risk or compromise. So, we founded Menlo Security to eliminate the threat of malware from the web and email.",Multiple,email: kris.alandy@menlosecurity.com and include in the email a description of why you are interested in the opportunity and how you would be a good fit for the job.,,,,,,,,
USGS ,Multiple,"The USGS Internship Program is designed to provide students enrolled in a wide variety of educational institutions, from high school to graduate level, with opportunities to work in agencies and explore Federal careers while still in school and getting paid for the work performed.",Multiple,https://www.usgs.gov/about/organization/science-support/human-capital/pathways-internship-program,-MInimum of 8-hour weeks. -Minimum 2.5 GPA. -Taking or have taken Chem 210.,$16.19/hour,,,,,,
USDA Natural Resources Conservation Service,Multiple,"Paid internships will be available in but not limited to the following majors/degrees: civil engineering, natural resources/rangeland management, economist, Public Affairs, Wildlife Biology, Soil Conservation/Soil Science, Agronomy, Forestry
 ",Multiple,https://www.usajobs.gov/Help/working-in-government/unique-hiring-paths/students/,,,,,several over the years,,,
National Cancer Institute,,"The Introduction to Cancer Research Careers (ICRC) program gives highly qualified undergraduate, post-baccalaurete, graduate, and recent graduate students the opportunity to participate in vital cancer research at the National Cancer Institute (NCI).",TBA,https://icrc.nci.nih.gov,-Already completed one summer doing research. -A 3.2 GPA. -Refer to application for others,,,,,,,
National Science Foundation - REU Finder,Multiple,"Search for an Research Experience for Undergraduates (REU) in your field of interest. Research Experiences for Undergraduates (REU) is a Foundation-wide program that supports active participation in science,
engineering, and education research by undergraduate students. REU proposals are welcome in any of the research areas supported
by NSF",Multiple,https://www.nsf.gov/crssprgm/reu/reu_search.jsp,"Eligible Student Participants: Undergraduate student participants supported with NSF funds in either REU Supplements or REU Sites must be U.S. citizens, U.S. nationals, or permanent residents of the United States. An undergraduate student is a student who is enrolled in a degree program (part-time or full-time) leading to a baccalaureate or associate degree. Students who are transferring from one college or university to another and are enrolled at neither institution during the intervening summer may participate. High school graduates who have been accepted at an undergraduate institution but who have not yet started their undergraduate study are also eligible to participate. Students who have received their bachelor's degrees and are no longer enrolled as undergraduates are generally not eligible to participate.",Varies,Varies,,,,,
STEM Jobs - Internship search tool,Multiple,"The STEM Hiring Network is a reource for Science, Technology, Engineering and Math jobs and internships",Multiple,https://www.stemjobs.com/,,,,,,,,
Energize Colleges,Sustainability/Multiple,SMCCCD Sustainability Team provides various Energize Colleges internship opportunities,Multiple,https://docs.google.com/document/d/1c6FKfXdoHYQp2roGhFY0F2Gt-KNI4mOXa0jMnM5878U/edit?usp=sharing,"These positions are available to all currently enrolled SMCCCD students at Skyline College, College of San Mateo, and Cañada College.",,,,,,,
S-SMART Summer Research Internship Program 2023,STEM,The Strengthening Student Motivation and Resilience through Research (S-SMART) Summer Research Internship Program partnered by SF State School of Engineering and local community colleges aims to provide community college students with impactful engineering research opportunities and hands-on experiences.,"Feb 13, 2023",Program Website: https://engineering.sfsu.edu/s-smart-summer-research-internship-program,"June 5 - July 28, 2023, at San Francisco State University (SFSU)
The internship requires the interns to work 30 hrs/wk or M-F 9 am-4 pm with 12 pm-1 pm lunch break in the hosting research lab at SFSU. Applicants must be enrolled in an engineering program or in a relevant STEM program of a community college in Spring 2023.
Applicants must be a US citizen or permanent resident.
Applicants must be at least 18 by the program start date (June 5, 2023).",,,,,,,
